
№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Акт называния,Да,значения,создание имени для объекта,индивидуальные/неформальные/дискретные,аналог в ономасиологии
2,Переименование,Да,значения,смена имени объекта,индивидуальные/неформальные/дискретные,аналог в культурной лингвистике
3,Создание высказывания,Да,структура,формирование синтаксической единицы,индивидуальные/неформальные/мгновенные,аналог в синтаксисе
4,Интерпретация высказывания,Да,значения,раскрытие смысла,индивидуальные/неформальные/дискретные,аналог в герменевтике
5,Метафоризация речи,Да,значения,перенос значения,индивидуальные/неформальные/дискретные,аналог в поэтике
6,Буквализация,Да,значения,сведение к прямому смыслу,индивидуальные/неформальные/дискретные,аналог в аналитической философии
7,Акт референции,Да,значения,указание на объект,индивидуальные/неформальные/дискретные,аналог у Рассела
8,Смена референта,Да,значения,переход к другому объекту,индивидуальные/неформальные/дискретные,аналог у Крипке
9,Семантический сдвиг,Да,значения,изменение смысла слова,индивидуальные/постепенные/неформальные,аналог в исторической семантике
10,Семантическая экспансия,Да,значения,расширение области применения,индивидуальные/постепенные/неформальные,аналог в лексикологии
11,Семантическая редукция,Да,значения,сужение значения,индивидуальные/постепенные/неформальные,аналог в семасиологии
12,Полисемизация,Да,значения,появление новых значений,индивидуальные/постепенные/неформальные,аналог в исторической лексикологии
13,Десемантизация,Нет,значения,потеря исходного смысла,индивидуальные/латентные/неформальные,аналог в грамматикализации
14,Грамматикализация,Нет,структура,переход слова в грамматическую единицу,индивидуальные/постепенные/неформальные,аналог в исторической лингвистике
15,Лексикализация,Да,структура,оформление конструкции в слово,индивидуальные/постепенные/неформальные,аналог в языкознании
16,Неологизация,Да,значения,создание нового слова,индивидуальные/дискретные/неформальные,аналог в социолингвистике
17,Архаизация,Нет,значения,устаревание слова,индивидуальные/латентные/неформальные,аналог в диахронии
18,Дискурсивная рамка,Да,дискурс,создание контекста понимания,индивидуальные/неформальные/дискретные,аналог у Фуко
19,Переписывание дискурса,Да,дискурс,трансформация контекста,коллективные/неформальные/каскадные,аналог в критической теории
20,Кодовое переключение,Да,структура,смена языковой системы,индивидуальные/неформальные/дискретные,аналог в билингвизме
21,Создание жаргона,Да,нормы,формирование локального языка,коллективные/неформальные/дискретные,аналог в социолингвистике
22,Институционализация термина,Да,нормы,признание официального статуса,институциональные/необходимые/дискретные,аналог в академической лексике
23,Ритуализация речи,Да,дискурс,закрепление формулы,институциональные/постепенные/неформальные,аналог в религиозных текстах
24,Деритуализация речи,Да,дискурс,снятие формульности,индивидуальные/неформальные/дискретные,аналог в повседневном языке
25,Перевод,Да,значения,трансляция между языками,индивидуальные/неформальные/дискретные,аналог в лингвистике
26,Непереводимость,Нет,значения,невозможность трансляции,индивидуальные/латентные/неформальные,аналог в философии языка
27,Семантическая игра,Да,значения,использование многозначности,индивидуальные/неформальные/дискретные,аналог у Витгенштейна
28,Акт обещания,Да,дискурс,создание обязательства,индивидуальные/неформальные/дискретные,аналог в теории речевых актов
29,Акт извинения,Да,дискурс,снятие вины,индивидуальные/неформальные/дискретные,аналог в прагматике
30,Акт утверждения,Да,дискурс,закрепление факта,индивидуальные/неформальные/дискретные,аналог в логике
31,Акт вопроса,Да,дискурс,инициация поиска информации,индивидуальные/неформальные/дискретные,аналог в теории вопросов
32,Акт приказа,Да,дискурс,создание обязательного действия,индивидуальные/неформальные/дискретные,аналог в речевых актах
33,Акт запрета,Да,нормы,ограничение действия,индивидуальные/неформальные/дискретные,аналог в юридическом языке
34,Акт дозволения,Да,нормы,разрешение действия,индивидуальные/неформальные/дискретные,аналог в правовом дискурсе
35,Акт фиксации,Да,память/наследие,закрепление высказывания,индивидуальные/неформальные/дискретные,аналог в письменности
36,Акт забвения,Да,память/наследие,стирание языковой формы,индивидуальные/постепенные/неформальные,аналог в устной традиции
37,Языковая игра,Да,структура,создание новых правил использования,индивидуальные/неформальные/дискретные,аналог у Витгенштейна
38,Метаязыковая рефлексия,Да,структура,размышление о языке,индивидуальные/неформальные/дискретные,аналог в философии языка
39,Семантический конфликт,Да,значения,столкновение интерпретаций,индивидуальные/неформальные/дискретные,аналог в социолингвистике
40,Пресуппозиция,Да,значения,неявное предположение,индивидуальные/неформальные/дискретные,аналог в прагматике
41,Импликатура,Да,значения,скрытый смысл,индивидуальные/неформальные/дискретные,аналог у Грайса
42,Дефиниция,Да,значения,установление границ понятия,индивидуальные/неформальные/дискретные,аналог в логике
43,Переписывание дефиниции,Да,значения,смена границ понятия,индивидуальные/неформальные/дискретные,аналог в науке
44,Языковая экономия,Да,структура,сокращение выражений,индивидуальные/неформальные/постепенные,аналог в морфологии
45,Избыточность языка,Да,структура,дублирование выражений,индивидуальные/неформальные/постепенные,аналог в прагматике
46,Языковая инновация,Да,структура,создание новых конструкций,индивидуальные/неформальные/дискретные,аналог в социолингвистике
47,Стирание различий,Нет,значения,унификация смыслов,индивидуальные/латентные/неформальные,аналог в глобализации языка
48,Кристаллизация смысла,Да,значения,закрепление интерпретации,индивидуальные/неформальные/дискретные,аналог в терминологии
49,Растекание смысла,Нет,значения,размывание границ,индивидуальные/латентные/неформальные,аналог в семантической энтропии
50,Интертекстуализация,Да,дискурс,встраивание чужих текстов,индивидуальные/неформальные/дискретные,аналог у Кристевой
