№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Нейронная активация речи,Да,Состояние,Устойчивость,"Мгновенные, активные",Аналоги: психолингвистика
2,Нейронное торможение речи,Да,Состояние,Экономия,Мгновенные,Аналоги: психология
3,Локализация языковых функций,Нет,Структура,Устойчивость,Постепенные,Аналоги: нейроанатомия
4,Нейропластичность языковая,Да,Структура,Гармония,Постепенные,Аналоги: психология обучения
5,Функциональная реорганизация,Да,Структура,Адаптация,Постепенные,Аналоги: биология
6,Нейронные сети речи,Нет,Структура,Связность,Постепенные,Аналоги: ИИ (нейросети)
7,Синаптическая потенциация,Да,Состояние,Усиление,Постепенные,Аналоги: физиология
8,Синаптическая депрессия,Да,Состояние,Ослабление,Постепенные,Аналоги: физиология
9,Лонгитюдная активация речи,Да,Состояние,Устойчивость,Постепенные,Уникален
10,Кросс-модальная интеграция,Да,Структура,Гармония,Активные,Аналоги: когнитивная наука
11,Хеббианское научение,Да,Структура,Устойчивость,Постепенные,Аналоги: ИИ (machine learning)
12,Анти-хеббианские механизмы,Да,Структура,Стабилизация,Постепенные,Аналоги: математика (негативная обратная связь)
13,Асимметрия полушарий,Нет,Структура,Устойчивость,Постепенные,Аналоги: биология
14,Билингвизм нейронный,Да,Состояние,Устойчивость,Постепенные,Аналоги: социолингвистика
15,Код-свичинг нейронный,Да,Структура,Адаптация,Активные,Аналоги: социолингвистика
16,Электрофизиологическая синхронизация,Да,Состояние,Гармония,Мгновенные,Аналоги: физика (синхронизация)
17,Нейронные осцилляции,Да,Состояние,Ритм,Мгновенные,Аналоги: музыка (ритм)
18,Дисфункция Брока,Нет,Состояние,Патология,Спонтанные,Аналоги: медицина
19,Дисфункция Вернике,Нет,Состояние,Патология,Спонтанные,Аналоги: медицина
20,Афазия моторная,Нет,Состояние,Патология,Спонтанные,Аналоги: медицина
21,Афазия сенсорная,Нет,Состояние,Патология,Спонтанные,Аналоги: медицина
22,Амнестическая афазия,Нет,Состояние,Потеря,Спонтанные,Аналоги: психолингвистика
23,Глобальная афазия,Нет,Состояние,Патология,Спонтанные,Аналоги: медицина
24,Апраксия речи,Нет,Состояние,Патология,Спонтанные,Аналоги: нейропатология
25,Дисартрия,Нет,Состояние,Патология,Спонтанные,Аналоги: фонетика
26,Алекситимия речевая,Нет,Содержание,Патология,Спонтанные,Аналоги: психология
27,Алекситимия семантическая,Нет,Содержание,Патология,Спонтанные,Уникален
28,Функциональная асимметрия речи,Да,Структура,Устойчивость,Постепенные,Аналоги: биология
29,Нейронное кодирование речи,Да,Структура,Иконичность,Активные,Аналоги: информатика
30,Декодирование речи нейронное,Да,Структура,Иконичность,Активные,Аналоги: информатика
31,Восстановление речи после инсульта,Да,Структура,Нейропластичность,Постепенные,Аналоги: медицина (реабилитация)
32,Речевые эпилептические разряды,Нет,Состояние,Патология,Мгновенные,Аналоги: медицина
33,Нейромодуляция речи,Да,Состояние,Регуляция,Активные,Аналоги: медицина (нейростимуляция)
34,Нейрохимическая регуляция речи,Да,Состояние,Регуляция,Постепенные,Аналоги: биохимия
35,Генетическая предрасположенность речи,Нет,Состояние,Устойчивость,Постепенные,Аналоги: генетика
36,Эпигенетическая модуляция речи,Да,Состояние,Регуляция,Постепенные,Аналоги: биология
37,Речевая латерализация,Нет,Структура,Иерархия,Постепенные,Аналоги: нейропсихология
38,Динамическое перекодирование речи,Да,Структура,Гибкость,Активные,Аналоги: информатика
39,Нейронная интеграция мультимодальная,Да,Структура,Гармония,Активные,Аналоги: когнитивная наука
40,Фонологическая рабочая память,Да,Состояние,Устойчивость,Активные,Аналоги: психолингвистика
41,Нейронная деградация речи (альцгеймер),Нет,Состояние,Утрата,Постепенные,Аналоги: медицина
42,"Нейростимуляция речи (TMS, tDCS)",Да,Состояние,Регуляция,Активные,Аналоги: медицина
43,Связность белого вещества,Да,Структура,Интеграция,Постепенные,Аналоги: нейроанатомия
44,Кросс-языковая активация,Да,Состояние,Адаптация,Активные,Аналоги: билингвизм
