№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Согласование,Да,Отношения,"Гармония, предсказуемость","Постепенные, активные",Аналоги: морфология (выравнивание)
2,Валентность,Да,Структура,Устойчивость,Активные,Аналоги: химия (связи атомов)
3,Рекурсивность,Да,Структура,"Иконичность, экспрессия","Активные, мгновенные",Аналоги: математика (рекурсия)
4,Инверсия,Да,Структура,"Экспрессия, фокус","Активные, мгновенные",Аналоги: фонетика (метатеза)
5,Эллипсис,Нет,Структура,Экономия,"Активные, спонтанные",Аналоги: фонетика (элизия)
6,Пассивизация,Да,Структура,Фокус,Активные,Аналоги: прагматика (смена акцента)
7,Активизация (депассивизация),Да,Структура,Фокус,Активные,Уникален для синтаксиса
8,Клитиализация,Нет,Структура,Экономия,Постепенные,Аналоги: морфология
9,Топикализация,Да,Структура,Выделение,Активные,Аналоги: прагматика (тема-рематическое членение)
10,Фокусировка,Да,Структура,Экспрессия,Активные,Аналоги: фонетика (ударение)
11,Номинализация,Да,Структура,Упорядочивание,Активные,Аналоги: морфология (конверсия)
12,Вербализация,Да,Структура,Динамика,Активные,Аналоги: морфология
13,Адвербиализация,Да,Структура,Модификация,Активные,Уникален
14,Отрицательная конструкция,Да,Структура,Противопоставление,Активные,Аналоги: логика (негация)
15,Вопросительная конструкция,Да,Структура,Фокус,Активные,Аналоги: прагматика (вопрос)
16,Относительная конструкция,Да,Структура,Связь,Активные,Аналоги: семантика (референция)
17,Сочинение,Да,Структура,Гармония,Активные,Аналоги: музыка (аккорды)
18,Подчинение,Да,Структура,Иерархия,Активные,Аналоги: организация (иерархия)
19,Координация,Да,Отношения,Гармония,Активные,Аналоги: социальные процессы (кооперация)
20,Деконструкция предложения,Нет,Структура,Экспрессия,Активные,Аналоги: философия (деконструкция)
21,Фрагментация,Нет,Структура,Экспрессия,Активные,Аналоги: поэзия (верлибр)
22,Грамматикализация синтаксиса,Нет,Содержание,Экономия,Постепенные,Аналоги: морфология
23,Деграмматикализация синтаксиса,Нет,Содержание,Экспрессия,Постепенные,Уникален
24,Парацелляция,Нет,Структура,Экспрессия,Активные,Аналоги: стилистика
25,Синтаксическая компрессия,Нет,Структура,Экономия,Активные,Аналоги: фонетика (редукция)
26,Синтаксическая экспансия,Нет,Структура,Экспрессия,Активные,Аналоги: риторика
27,Перефраза,Да,Структура,Экспрессия,Активные,Аналоги: семантика
28,Калькирование,Нет,Структура,Иконичность,Активные,Аналоги: морфология
29,Гипотаксис,Да,Структура,Иерархия,Активные,Аналоги: философия (подчинение идей)
30,Паратаксис,Да,Структура,Гармония,Активные,Аналоги: музыка
31,Сдвиг порядка слов,Да,Структура,Экспрессия,Активные,Аналоги: фонетика (метатеза)
32,Разрыв синтаксических связей (анафора/катофора),Нет,Отношения,Экспрессия,Активные,Аналоги: риторика
33,Интерполяция,Да,Структура,Модификация,Активные,Аналоги: математика (интерполяция)
34,Экстрапозиция,Да,Структура,Экспрессия,Активные,Уникален
35,Проклитика/Энклитика,Да,Структура,Экономия,Постепенные,Аналоги: морфология
36,Синтаксическая аналогия,Да,Структура,Устойчивость,Постепенные,Аналоги: морфология (аналогия)
37,Генеративные перестройки,Нет,Структура,Иконичность,Активные,Аналоги: когнитивные процессы
38,Трансформация по глубинной структуре,Нет,Содержание,Устойчивость,Активные,Аналоги: психолингвистика
39,Когерентность/когезия,Да,Отношения,Гармония,Постепенные,Аналоги: социолингвистика
40,Согласование падежа,Да,Структура,Гармония,Активные,Аналоги: морфология
41,Согласование числа/рода,Да,Структура,Гармония,Активные,Аналоги: морфология
42,Двусоставные/односоставные конструкции,Да,Структура,Экономия/экспрессия,Активные,Аналоги: музыка (монофон/полифон)
