№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Выращивание бактерий на питательной среде,Нет,тело/материя,принцип роста,индивидуальные,аналог в микробиологии
2,Использование живых клеток как материала,Нет,тело/материя,принцип биосубстанции,индивидуальные,аналог в биотехнологии
3,Генетическая модификация растений,Нет,структура,принцип редактирования,индивидуальные,аналог в науке
4,Создание светящихся организмов,Нет,состояние,принцип биолюминесценции,индивидуальные,аналог в генетике
5,Формирование скульптур из тканей,Нет,структура,принцип тканевой инженерии,индивидуальные,аналог в медицине
6,Использование грибов как среды,Нет,структура,принцип симбиоза,индивидуальные,аналог в экологии
7,Выращивание мха на объектах,Нет,структура,принцип роста,индивидуальные,аналог в ландшафтном искусстве
8,Инсталляции с водорослями,Нет,структура,принцип фотосинтеза,индивидуальные,аналог в экологии
9,Использование крови как пигмента,Нет,содержание,принцип органической материи,индивидуальные,аналог в ритуалах
10,Создание ДНК-портретов,Да,идентичность/границы,принцип генетической уникальности,индивидуальные,аналог в медицине
11,Работа с мутациями бактерий,Нет,структура,принцип случайности,индивидуальные,аналог в эволюционной биологии
12,Использование вирусов как материала,Нет,структура,принцип симбиоза,индивидуальные,аналог в биотехнологии
13,Формирование органических паттернов роста,Нет,структура,принцип самоподобия,индивидуальные,аналог в математике
14,Создание биолюминесцентных инсталляций,Нет,состояние,принцип света,индивидуальные,аналог в медиа-арте
15,Выращивание кристаллов на живых организмах,Нет,структура,принцип гибридизации,индивидуальные,аналог в минералогии
16,Использование насекомых в живых скульптурах,Нет,поведение,принцип соучастия,индивидуальные,аналог в этологии
17,Создание гибридных организмов,Нет,структура,принцип скрещивания,индивидуальные,аналог в генетике
18,Инсталляции с живыми рыбами,Нет,структура,принцип среды,индивидуальные,аналог в аквариумистике
19,Использование запахов микроорганизмов,Нет,состояние,принцип сенсорики,индивидуальные,аналог в парфюмерии
20,Создание объектов из костного материала,Нет,структура,принцип органической материи,индивидуальные,аналог в археологии
21,Выращивание клеточных культур,Нет,структура,принцип воспроизводства,индивидуальные,аналог в медицине
22,Формирование живых текстов (растения-буквы),Нет,символы,принцип номинации,индивидуальные,аналог в ленд-арте
23,Использование биопринтера,Нет,структура,принцип аддитивного биопроизводства,индивидуальные,аналог в технологии
24,Создание генетически изменённых животных,Нет,структура,принцип модификации,индивидуальные,аналог в науке
25,Инсталляции с живыми птицами,Нет,структура,принцип среды,индивидуальные,аналог в этологии
26,Работа с процессами разложения,Нет,состояние,принцип энтропии,индивидуальные,аналог в экологии
27,Создание тканей с биосветом,Нет,структура,принцип гибридизации,индивидуальные,аналог в текстильной инженерии
28,Использование ДНК как текста,Да,символы,принцип кодирования,индивидуальные,аналог в информатике
29,Формирование портретов из живых клеток,Нет,структура,принцип композиции,индивидуальные,аналог в живописи
30,Создание биоаквариумов,Нет,пространство,принцип среды,индивидуальные,аналог в архитектуре
31,Выращивание бактерий в виде узоров,Нет,структура,принцип композиции,индивидуальные,аналог в орнаменте
32,Использование ДНК-анализаторов как инструмента,Да,технология/инфраструктура,принцип репрезентации,индивидуальные,аналог в науке
33,Создание симбиотических колоний,Нет,структура,принцип кооперации,индивидуальные,аналог в экологии
