№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Создание инструкции как произведения,Да,нормы,принцип дематериализации,индивидуальные,аналог в перформансе
2,Замена объекта описанием,Да,содержание,принцип репрезентации,индивидуальные,аналог в лингвистике
3,Документация как арт,Да,память/наследие,принцип фиксации,индивидуальные,аналог в науке
4,Использование текста вместо образа,Да,символы,принцип вербализации,индивидуальные,аналог в литературе
5,Перевод идеи в схему или карту,Да,структура,принцип визуализации,индивидуальные,аналог в науке
6,Подмена объекта его названием,Да,значения,принцип номинации,индивидуальные,аналог в семиотике
7,Создание списка как арт,Да,структура,принцип упорядочивания,индивидуальные,аналог в науке
8,Инструкция для зрителя как арт,Да,поведение,принцип соучастия,коллективные,аналог в перформансе
9,Документирование повседневности,Да,содержание,принцип фиксации,индивидуальные,аналог в этнографии
10,Использование готовых объектов (ready-made),Да,структура,принцип смещения,индивидуальные,аналог в дизайне
11,Подмена произведения фотографией,Да,память/наследие,принцип документации,индивидуальные,аналог в фотоискусстве
12,Создание концептуального архива,Да,память/наследие,принцип каталогизации,индивидуальные,аналог в музее
13,Игра с юридическими документами,Да,нормы,принцип институциональной критики,индивидуальные,аналог в праве
14,Фиксация акта вместо объекта,Да,поведение,принцип документации,индивидуальные,аналог в театре
15,Использование языка как материала,Да,символы,принцип семиозиса,индивидуальные,аналог в литературе
16,Стирательство (удаление текста/образа),Нет,содержание,принцип отрицания,индивидуальные,аналог в постструктурализме
17,Создание пустого объекта (white cube),Да,пространство,принцип пустоты,индивидуальные,аналог в дзен
18,Переопределение границ искусства,Да,нормы,принцип метакомментария,коллективные,аналог в философии
19,Использование случайности как метода,Да,структура,принцип энтропии,индивидуальные,аналог в дада
20,Создание схемы как произведения,Да,структура,принцип визуализации,индивидуальные,аналог в инженерии
21,Декларация идеи как произведения,Да,дискурс,принцип номинации,индивидуальные,аналог в философии
22,Игра с контекстом экспонирования,Да,пространство,принцип смещения,индивидуальные,аналог в архитектуре
23,Создание парадокса как арт,Да,значения,принцип противоречия,индивидуальные,аналог в логике
24,Использование зрителя как материала,Да,идентичность/границы,принцип взаимодействия,коллективные,аналог в психологии
25,Включение инструкций в экспозицию,Да,нормы,принцип документации,индивидуальные,аналог в науке
26,Создание пустого зала,Да,пространство,принцип отрицания,индивидуальные,аналог в театре абсурда
27,Использование повторения как идеи,Да,структура,принцип серийности,индивидуальные,аналог в музыке
28,Фиксация времени как объекта,Да,время/ритм,принцип документирования,индивидуальные,аналог в кино
29,Демонстрация процесса вместо результата,Да,поведение,принцип процессуальности,индивидуальные,аналог в науке
30,Игра с собственным телом (body as text),Да,тело/материя,принцип репрезентации,индивидуальные,аналог в перформансе
31,Создание диаграммы как произведения,Да,структура,принцип визуализации,индивидуальные,аналог в науке
32,Отсутствие произведения (нон-арт),Да,нормы,принцип отрицания,индивидуальные,аналог в философии
33,Замещение объекта концептом,Да,значения,принцип репрезентации,индивидуальные,аналог в логике
34,Использование инструкций-загадок,Да,дискурс,принцип интерактивности,индивидуальные,аналог в игре
35,Переопределение роли автора,Да,нормы,принцип деконструкции,индивидуальные,аналог в литературе
36,Создание концептуальной карты мира,Да,пространство,принцип нарратива,индивидуальные,аналог в географии
37,Использование науки как формы,Да,содержание,принцип симуляции,индивидуальные,аналог в науке
38,Демонстрация документа вместо артефакта,Да,память/наследие,принцип документации,индивидуальные,аналог в архиве
39,Игра с подписью (signing),Да,идентичность/границы,принцип номинации,индивидуальные,аналог в праве
40,Использование манифеста как арта,Да,дискурс,принцип декларации,индивидуальные,аналог в политике
41,Создание коллекции как арт,Да,структура,принцип упорядочивания,индивидуальные,аналог в музеологии
42,Трансформация инструкции в объект,Да,структура,принцип воплощения,индивидуальные,аналог в инженерии
43,Создание перформативного текста,Да,дискурс,принцип действия,индивидуальные,аналог в театре
44,Использование отсутствия как арта,Да,содержание,принцип отрицания,индивидуальные,аналог в философии
45,Создание концептуальной фикции,Да,дискурс,принцип воображения,индивидуальные,аналог в литературе
