№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Создание цифровой живописи,Да,содержание,принцип цифровой кисти,индивидуальные,аналог в живописи
2,Использование графического планшета,Да,технология/инфраструктура,принцип дигитализации,индивидуальные,аналог в дизайне
3,3D-моделирование объектов,Да,структура,принцип пространственной реконструкции,индивидуальные,аналог в архитектуре
4,Создание цифровой скульптуры (ZBrush),Да,структура,принцип виртуальной пластики,индивидуальные,аналог в скульптуре
5,Воксельное моделирование,Да,структура,принцип дискретизации,индивидуальные,аналог в пиксель-арте
6,Создание пиксель-арта,Да,содержание,принцип минимализма,индивидуальные,аналог в мозаике
7,Фрактальная графика,Да,структура,закон самоподобия,индивидуальные,аналог в математике
8,Алгоритмическое искусство,Да,содержание,принцип автоматизации,индивидуальные,аналог в программировании
9,Генеративное искусство (AI art),Да,содержание,принцип ко-авторства,индивидуальные,аналог в концептуальном искусстве
10,Нейросетевое искусство (GAN),Да,содержание,принцип синтеза,индивидуальные,аналог в живописи
11,Использование алгоритмов эволюции,Да,структура,принцип отбора,индивидуальные,аналог в биологии
12,Интерактивное искусство,Да,поведение,принцип соучастия,коллективные,аналог в перформансе
13,Создание VR-искусства,Да,пространство,принцип иммерсивности,индивидуальные,аналог в инсталляции
14,Создание AR-искусства,Да,пространство,принцип наложения,индивидуальные,аналог в инсталляции
15,Медиа-арт с сенсорами движения,Да,поведение,принцип интерактивности,индивидуальные,аналог в перформансе
16,Саунд-арт с генеративными алгоритмами,Да,содержание,закон акустики,индивидуальные,аналог в музыке
17,Визуализация данных,Да,содержание,принцип репрезентации,индивидуальные,аналог в науке
18,Крипто-арт (NFT),Да,идентичность/границы,принцип уникальности,индивидуальные,аналог в экономике
19,Использование блокчейн как среды,Да,технология/инфраструктура,принцип децентрализации,индивидуальные,аналог в экономике
20,Гейм-арт (игровые миры как искусство),Да,пространство,принцип симуляции,индивидуальные,аналог в геймдизайне
21,Модификация игр (art mods),Да,структура,принцип вмешательства,индивидуальные,аналог в хакерстве
22,Машинная анимация,Да,структура,принцип автоматизации,индивидуальные,аналог в мультипликации
23,CGI-графика,Да,структура,принцип реалистичности,индивидуальные,аналог в кино
24,Моушн-дизайн,Да,структура,принцип динамики,индивидуальные,аналог в рекламе
25,Глитч-арт,Да,структура,принцип ошибки,индивидуальные,аналог в постмодерне
26,Нет-арт (сайт как произведение),Да,пространство,принцип сетевой среды,индивидуальные,аналог в архитектуре
27,Мем-арт,Да,дискурс,принцип иронии,коллективные,аналог в фольклоре
28,Инсталляции с проекциями,Да,пространство,принцип дополнения,индивидуальные,аналог в театре
29,Видео-арт,Да,содержание,принцип временной репрезентации,индивидуальные,аналог в кино
30,Анимация с кодом (code art),Да,структура,принцип алгоритмизации,индивидуальные,аналог в математике
31,Интерактивные аватары,Да,идентичность/границы,принцип удвоения,индивидуальные,аналог в театре
32,Голографическое искусство,Да,пространство,принцип нематериальности,индивидуальные,аналог в оптике
33,Создание метавселенных как арта,Да,пространство,принцип тотальной среды,индивидуальные,аналог в урбанистике
34,Социальные медиа как художественная практика,Да,дискурс,принцип репрезентации,коллективные,аналог в журналистике
35,Использование дронов для визуализаций,Да,поведение,принцип роевой динамики,коллективные,аналог в инженерии
36,Реактивное искусство (отзыв на действия зрителя),Да,поведение,принцип интерактивности,индивидуальные,аналог в психологии
37,Биоцифровое искусство (цифровизация организмов),Да,тело/материя,принцип гибридности,индивидуальные,аналог в биоарте
38,NFT-перформанс,Да,идентичность/границы,принцип токенизации,индивидуальные,аналог в экономике
39,Использование искусственного интеллекта как соавтора,Да,дискурс,принцип ко-авторства,индивидуальные,аналог в литературе
40,Создание дипфейк-арта,Да,идентичность/границы,принцип симуляции,индивидуальные,аналог в кино
41,Использование роботов как исполнителей,Да,поведение,принцип автоматики,индивидуальные,аналог в инженерии
42,Генерация музыки алгоритмами,Да,содержание,принцип автоматизации,индивидуальные,аналог в музыке
43,Создание чат-ботов как арта,Да,дискурс,принцип симуляции,индивидуальные,аналог в театре
44,Флэш-арт (интерактивные сайты),Да,структура,принцип динамики,индивидуальные,аналог в дизайне
45,Использование ИИ для реставрации,Да,память/наследие,принцип восстановления,индивидуальные,аналог в истории
46,Использование GPS-данных,Да,пространство,принцип геолокации,индивидуальные,аналог в картографии
47,Создание AR-скульптур,Да,структура,принцип наложения,индивидуальные,аналог в скульптуре
48,Мультиплеерное искусство,Да,поведение,принцип совместности,коллективные,аналог в социологии
49,Использование API как художественного инструмента,Да,структура,принцип открытости,индивидуальные,аналог в инженерии
50,Машинное перевоплощение текста в изображение,Да,дискурс,принцип трансформации,индивидуальные,аналог в литературе
51,Машинное перевоплощение изображения в звук,Да,содержание,принцип мультимодальности,индивидуальные,аналог в музыке
52,Создание эмодзи-арта,Да,символы,принцип минимализма,индивидуальные,аналог в пиктографии
53,Использование чат-коммуникаций как материала,Да,дискурс,принцип интертекстуальности,индивидуальные,аналог в литературе
54,Создание искусственных языков,Да,символы,принцип конструирования,индивидуальные,аналог в лингвистике
55,Генерация комиксов нейросетями,Да,дискурс,принцип автоматизации,индивидуальные,аналог в печати
56,Создание цифровых масок,Да,идентичность/границы,принцип сокрытия,индивидуальные,аналог в театре
57,Фейковые профили как арт,Да,идентичность/границы,принцип симуляции,индивидуальные,аналог в акционизме
58,Использование виртуальных блогеров,Да,идентичность/границы,принцип репрезентации,индивидуальные,аналог в медиа
59,Создание цифровых тотемов,Да,символы,принцип сакрализации,индивидуальные,аналог в антропологии
60,Интерактивные карты в реальном времени,Да,пространство,принцип синхронизации,индивидуальные,аналог в географии
61,Создание цифровых аватаров,Да,идентичность/границы,принцип удвоения,индивидуальные,аналог в VR
62,Использование метавселенной как среды,Да,пространство,принцип тотальной среды,коллективные,аналог в урбанистике
63,Создание интерактивных веб-страниц как арта,Да,структура,принцип динамики,индивидуальные,аналог в дизайне
64,Сетевые перформансы,Да,поведение,принцип удалённости,коллективные,аналог в театре
65,Создание цифровых архивов как искусства,Да,память/наследие,принцип фиксации,индивидуальные,аналог в музеологии
