№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Размещение объекта в пространстве,Да,пространство,принцип позиционирования,индивидуальные,аналог в архитектуре
2,Организация маршрута зрителя,Да,поведение,принцип навигации,коллективные,аналог в музеологии
3,Выделение зоны восприятия,Да,пространство,принцип фрейминга,индивидуальные,аналог в театре
4,Создание точки фокуса,Да,структура,принцип акцента,индивидуальные,аналог в дизайне
5,Использование света как материала,Да,содержание,закон оптики,индивидуальные,аналог в сценографии
6,Проекция изображений,Да,дискурс,принцип медиации,индивидуальные,аналог в медиа-арте
7,Интеграция звуковой среды,Да,содержание,закон акустики,индивидуальные,аналог в музыке
8,Создание запахового окружения,Нет,содержание,принцип мультисенсорности,индивидуальные,аналог в маркетинге
9,Использование тактильных материалов,Да,тело/материя,принцип сенсорного вовлечения,индивидуальные,аналог в дизайне
10,Манипуляция температурой,Нет,состояние,закон термодинамики,индивидуальные,аналог в инженерии
11,Интеграция движения воздуха,Да,содержание,закон аэродинамики,индивидуальные,аналог в архитектуре
12,Создание кинетических объектов,Да,поведение,принцип движения,индивидуальные,аналог в инженерии
13,Использование воды как элемента,Нет,тело/материя,закон текучести,индивидуальные,аналог в архитектуре
14,Введение растений,Нет,тело/материя,принцип органичности,постепенные; эндогенные,аналог в биоарте
15,Интеграция животных,Нет,поведение,принцип соучастия,индивидуальные,аналог в перформансе
16,Применение цифровых экранов,Да,технология/инфраструктура,принцип медиа-дополнения,индивидуальные,аналог в рекламе
17,Использование VR-шлемов,Да,идентичность/границы,принцип иммерсивности,индивидуальные,аналог в VR
18,Применение AR-технологий,Да,пространство,принцип дополненной реальности,индивидуальные,аналог в цифровом искусстве
19,Введение голограмм,Да,пространство,принцип интерференции,индивидуальные,аналог в науке
20,Создание зеркальных поверхностей,Да,структура,закон отражения,индивидуальные,аналог в архитектуре
21,Манипуляция масштабом,Да,структура,принцип гиперболы,индивидуальные,аналог в скульптуре
22,Создание лабиринта,Да,структура,принцип дезориентации,коллективные,аналог в архитектуре
23,Введение звуковых вибраций,Да,содержание,закон резонанса,индивидуальные,аналог в музыке
24,Создание темноты как среды,Да,пространство,принцип отрицательного света,индивидуальные,аналог в театре
25,Использование тишины,Да,содержание,принцип паузы,индивидуальные,аналог в музыке
26,Фрагментация пространства,Да,структура,принцип деления,индивидуальные,аналог в архитектуре
27,Создание закрытого объёма,Да,структура,принцип оболочки,индивидуальные,аналог в архитектуре
28,Введение открытого неба,Нет,пространство,принцип бесконечности,индивидуальные,аналог в ленд-арте
29,Смешение культурных артефактов,Да,символы,принцип гибридности,индивидуальные,аналог в музее
30,Цитирование исторического объекта,Да,память/наследие,принцип реминисценции,индивидуальные,аналог в литературе
31,Создание коллективного участия,Да,поведение,принцип соучастия,коллективные,аналог в социологии
32,Введение интерактивных сенсоров,Да,технология/инфраструктура,принцип взаимодействия,индивидуальные,аналог в IT
33,Применение алгоритмов генеративного искусства,Да,содержание,принцип автоматизации,индивидуальные,аналог в цифровом искусстве
34,Использование случайности (рандомизация),Да,структура,принцип энтропии,индивидуальные,аналог в физике
35,Создание эфемерной формы,Нет,состояние,принцип временности,постепенные,аналог в медиа-арте
36,Реконфигурация объектов зрителями,Да,структура,принцип изменяемости,коллективные,аналог в перформансе
37,Добавление текстовых элементов,Да,дискурс,принцип письменности,индивидуальные,аналог в литературе
38,Проекционный мэппинг,Да,пространство,принцип дополнения,индивидуальные,аналог в архитектуре
39,Создание звукового коридора,Да,пространство,закон направленного звука,индивидуальные,аналог в акустике
40,Инсталляция с запахами еды,Нет,содержание,принцип мультисенсорности,индивидуальные,аналог в гастрономии
41,Создание «поля объектов»,Да,структура,принцип множественности,индивидуальные,аналог в археологии
42,Использование сетей и верёвок,Да,структура,принцип переплетения,индивидуальные,аналог в архитектуре
43,Интеграция бытовых предметов,Да,структура,принцип ready-made,индивидуальные,аналог в дизайне
44,Создание иллюзии движения,Да,содержание,принцип восприятия,индивидуальные,аналог в оп-арте
45,Введение повторяющихся паттернов,Да,структура,принцип ритма,цикличные,аналог в орнаменте
46,Использование пустоты,Да,пространство,принцип паузы,индивидуальные,аналог в дзен
47,Манипуляция звуковым хаосом,Да,содержание,принцип энтропии,индивидуальные,аналог в музыке
48,Создание световых тоннелей,Да,пространство,закон перспективы,индивидуальные,аналог в архитектуре
49,Фокусировка внимания на одном объекте,Да,структура,принцип центрации,индивидуальные,аналог в дизайне
50,Создание контраста материалов,Да,структура,принцип сопоставления,индивидуальные,аналог в скульптуре
51,Применение индустриальных объектов,Да,структура,принцип ресайклинга,индивидуальные,аналог в экологии
52,Инсталляция на открытом воздухе,Нет,пространство,принцип открытой среды,индивидуальные,аналог в ленд-арте
53,Создание подземного пространства,Нет,пространство,принцип погружения,индивидуальные,аналог в архитектуре
54,Использование архивных документов,Да,память/наследие,принцип документализма,индивидуальные,аналог в истории
55,Создание символического объекта,Да,значения,принцип репрезентации,индивидуальные,аналог в религии
56,Введение социальных сценариев,Да,нормы,принцип моделирования,коллективные,аналог в социологии
57,Создание поля света и тени,Да,структура,закон контраста,индивидуальные,аналог в живописи
58,Манипуляция звуковой тишиной,Да,содержание,принцип редукции,индивидуальные,аналог в музыке
59,Создание «капсулы опыта»,Да,пространство,принцип изоляции,индивидуальные,аналог в архитектуре
60,Введение метафорических образов,Да,значения,принцип семиозиса,индивидуальные,аналог в литературе
61,Создание туннеля из объектов,Да,структура,принцип прохождения,индивидуальные,аналог в архитектуре
62,Интеграция телесного контакта зрителя,Да,идентичность/границы,принцип соучастия,индивидуальные,аналог в перформансе
63,Использование вибрации пола,Да,состояние,закон механики,индивидуальные,аналог в инженерии
64,Создание мигающих световых сигналов,Да,содержание,закон ритма,цикличные,аналог в оп-арте
65,Введение воды в замкнутом цикле,Да,содержание,закон циркуляции,цикличные,аналог в инженерии
66,Интеграция огня/пламени,Нет,состояние,закон горения,индивидуальные,аналог в ритуале
67,Использование льда как временного материала,Нет,тело/материя,принцип эфемерности,индивидуальные,аналог в ленд-арте
68,Создание инсталляции из мусора,Нет,тело/материя,принцип ресайклинга,индивидуальные,аналог в экологии
69,Введение предметов повседневности,Да,структура,принцип ready-made,индивидуальные,аналог в дадаизме
70,Символическая деструкция объектов,Да,структура,принцип деконструкции,индивидуальные,аналог в постмодерне
71,Создание замкнутого звукового цикла,Да,содержание,принцип петли,цикличные,аналог в музыке
72,Применение видеоинсталляции,Да,дискурс,принцип мультимедийности,индивидуальные,аналог в кино
73,Создание многоканального видео,Да,структура,принцип многослойности,индивидуальные,аналог в телевидении
74,Использование архитектурных остатков,Да,память/наследие,принцип документации,индивидуальные,аналог в археологии
75,Введение исторических артефактов,Да,память/наследие,принцип цитаты,индивидуальные,аналог в музеологии
76,Создание архивной инсталляции,Да,память/наследие,принцип документальности,индивидуальные,аналог в истории
77,Инсталляция из газет/журналов,Нет,символы,принцип интертекстуальности,индивидуальные,аналог в медиа
78,Введение интерактивных кнопок/рычагов,Да,технология/инфраструктура,принцип управления,индивидуальные,аналог в инженерии
79,Использование QR-кодов,Да,символы,принцип цифровой маркировки,индивидуальные,аналог в IT
80,Создание иллюзии бесконечности зеркалами,Да,пространство,принцип самоповтора,индивидуальные,аналог в математике
81,Инсталляция с биолюминесцентными элементами,Нет,тело/материя,закон свечения,постепенные; эндогенные,аналог в биоарте
82,Введение роботизированных объектов,Да,структура,принцип автоматики,индивидуальные,аналог в робототехнике
83,Создание среды с дронами,Да,поведение,принцип роевой динамики,коллективные,аналог в инженерии
84,Инсталляция с нейроинтерфейсом,Да,идентичность/границы,принцип биосигнала,индивидуальные,аналог в нейротехе
