№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Перемещение камней в узоры,Да,структура,принцип упорядочивания,индивидуальные,аналог в архитектуре
2,Выкапывание траншей как рисунков,Нет,пространство,принцип гравировки,индивидуальные,аналог в археологии
3,Создание земляных валов,Нет,структура,принцип возведения,индивидуальные,аналог в фортификации
4,Формирование кругов на земле,Да,структура,принцип геометризации,индивидуальные,аналог в ритуалах
5,Рисование линий в песке,Нет,структура,принцип следа,индивидуальные,аналог в этнографии
6,Использование рек как материала,Нет,тело/материя,принцип включения среды,индивидуальные,аналог в инженерии
7,Создание лабиринтов из кустарников,Да,структура,принцип формирования,индивидуальные,аналог в садово-парковом искусстве
8,Сжигание травы для рисунка,Нет,состояние,принцип термического следа,индивидуальные,аналог в агротехнике
9,Формирование снежных скульптур,Нет,структура,принцип временности,индивидуальные,аналог в фестивалях
10,Выстраивание каменных кругов,Да,структура,принцип симметрии,индивидуальные,аналог в археологии
11,Создание земляных пирамид,Нет,структура,принцип возведения,индивидуальные,аналог в архитектуре
12,Инсталляции с водой (пруды, каналы),Да,пространство,принцип перераспределения,индивидуальные,аналог в инженерии
13,Формирование фигур из песка,Нет,структура,принцип временности,индивидуальные,аналог в пляжных практиках
14,Использование ветра для рисунков в траве,Нет,состояние,принцип естественной силы,экзогенные,аналог в экологии
15,Создание ледяных форм,Нет,структура,принцип кристаллизации,индивидуальные,аналог в архитектуре
16,Выкапывание геоглифов,Нет,структура,принцип масштаба,индивидуальные,аналог в культуре Наска
17,Формирование каменных дорожек,Да,структура,принцип упорядочивания,индивидуальные,аналог в садовом дизайне
18,Создание мозаики из листьев,Нет,содержание,принцип композиции,индивидуальные,аналог в прикладном искусстве
19,Окрашивание воды в озере,Нет,состояние,принцип химической трансформации,индивидуальные,аналог в химии
20,Использование солнца для выжигания следов,Нет,состояние,принцип фокусировки,экзогенные,аналог в физике
21,Формирование дорожек из соли,Нет,структура,принцип кристаллизации,индивидуальные,аналог в химии
22,Создание временных рисунков из инея,Нет,структура,принцип временности,индивидуальные,аналог в климате
23,Размещение зеркал в пустыне,Да,пространство,принцип отражения,индивидуальные,аналог в архитектуре
24,Формирование горок из песка,Нет,структура,принцип временной формы,индивидуальные,аналог в строительстве
25,Создание валунных инсталляций,Да,структура,принцип устойчивости,индивидуальные,аналог в архитектуре
26,Формирование спиралей из камней,Да,структура,принцип динамики,индивидуальные,аналог в символике
27,Выстраивание линий из деревьев,Нет,структура,принцип композиции,индивидуальные,аналог в лесоводстве
28,Использование тумана как материала,Нет,состояние,принцип эфемерности,экзогенные,аналог в экологии
29,Создание рисунков из огня,Нет,состояние,принцип энергии,мгновенные,аналог в ритуалах
30,Формирование лабиринтов из камней,Да,структура,принцип упорядочивания,индивидуальные,аналог в археологии
31,Создание земляных тоннелей,Нет,структура,принцип выемки,индивидуальные,аналог в инженерии
32,Формирование рельефов с помощью экскаватора,Нет,структура,принцип механического воздействия,индивидуальные,аналог в строительстве
33,Использование волн как инструмента,Нет,состояние,принцип естественной силы,экзогенные,аналог в океанографии
34,Создание временных объектов из веток,Нет,структура,принцип эфемерности,индивидуальные,аналог в ремёслах
35,Выкапывание квадратов/геометрических фигур,Нет,структура,принцип геометризации,индивидуальные,аналог в архитектуре
36,Формирование снежных узоров ногами,Нет,структура,принцип следа,индивидуальные,аналог в перформансе
37,Создание объектов из пепла,Нет,содержание,принцип остатка,индивидуальные,аналог в ритуалах
38,Использование лавы как материала,Нет,тело/материя,принцип трансформации,экзогенные,аналог в вулканологии
39,Формирование мостов из камней,Да,структура,принцип соединения,индивидуальные,аналог в инженерии
40,Создание водных рисунков на поверхности,Нет,структура,принцип временности,индивидуальные,аналог в каллиграфии
41,Использование корней деревьев,Нет,структура,принцип естественной формы,эндогенные,аналог в ботанике
42,Формирование гряд из растений,Да,структура,принцип упорядочивания,индивидуальные,аналог в земледелии
43,Создание земляных кругов с водой,Нет,структура,принцип симметрии,индивидуальные,аналог в архитектуре
44,Формирование узоров из льда на реке,Нет,структура,принцип временности,экзогенные,аналог в климате
45,Использование молний как инструмента,Нет,состояние,принцип энергии,мгновенные,аналог в физике
46,Создание глиняных фигур,Нет,структура,принцип лепки,индивидуальные,аналог в керамике
47,Формирование песчаных дюн вручную,Нет,структура,принцип перемещения,индивидуальные,аналог в географии
48,Размещение металлических конструкций в поле,Да,структура,принцип контраста,индивидуальные,аналог в архитектуре
49,Создание объектов из мусора,Нет,содержание,принцип рециклинга,индивидуальные,аналог в экологии
50,Формирование световых рисунков на земле,Нет,структура,принцип проекции,индивидуальные,аналог в медиа-арте
51,Использование дождя как материала,Нет,состояние,принцип эфемерности,экзогенные,аналог в климате
52,Создание следов тракторов как рисунков,Нет,структура,принцип следа,индивидуальные,аналог в агротехнике
53,Формирование дорожек из угля,Нет,структура,принцип следа,индивидуальные,аналог в ритуалах
54,Создание валов в форме букв,Нет,символы,принцип номинации,индивидуальные,аналог в каллиграфии
55,Размещение камней по созвездиям,Да,структура,принцип астрономической репрезентации,индивидуальные,аналог в астрономии
56,Формирование огненных колец,Нет,структура,принцип энергии,мгновенные,аналог в ритуалах
57,Создание земляных мостов,Нет,структура,принцип соединения,индивидуальные,аналог в инженерии
58,Формирование гряд с орнаментами,Да,структура,принцип композиции,индивидуальные,аналог в садоводстве
59,Использование теней деревьев как рисунков,Да,пространство,принцип отражения,экзогенные,аналог в архитектуре
60,Создание объектов из снега и веток,Нет,структура,принцип эфемерности,индивидуальные,аналог в прикладном искусстве
61,Формирование каменных стен,Да,структура,принцип возведения,индивидуальные,аналог в архитектуре
62,Создание земляных треугольников,Нет,структура,принцип геометризации,индивидуальные,аналог в инженерии
63,Размещение скульптур из песка,Нет,структура,принцип временности,индивидуальные,аналог в скульптуре
64,Формирование узоров из семян,Да,структура,принцип роста,индивидуальные,аналог в агротехнике
65,Создание земляных амфитеатров,Нет,структура,принцип организации,индивидуальные,аналог в архитектуре
66,Размещение фрагментов зеркал на земле,Да,пространство,принцип отражения,индивидуальные,аналог в медиа-арте
67,Использование дыма для рисунков,Нет,состояние,принцип эфемерности,мгновенные,аналог в ритуалах
68,Создание геометрических гряд,Да,структура,принцип композиции,индивидуальные,аналог в садоводстве
69,Формирование орнаментов из каменной крошки,Да,структура,принцип мозаики,индивидуальные,аналог в прикладном искусстве
70,Создание дорожек из стеклянных шаров,Да,структура,принцип контраста,индивидуальные,аналог в декоративных практиках
71,Выстраивание деревянных тотемов,Нет,символы,принцип сакрализации,индивидуальные,аналог в этнографии
72,Формирование спиралей из песка,Нет,структура,принцип динамики,индивидуальные,аналог в символике
73,Использование морской пены как материала,Нет,состояние,принцип эфемерности,экзогенные,аналог в экологии
74,Создание композиций из валежника,Нет,структура,принцип вторичного использования,индивидуальные,аналог в ремёслах
75,Формирование земляных курганов,Нет,структура,принцип возведения,индивидуальные,аналог в археологии
76,Размещение металлических пластин в почве,Да,структура,принцип контраста,индивидуальные,аналог в инженерии
77,Создание узоров из пыли,Нет,структура,принцип эфемерности,индивидуальные,аналог в прикладном искусстве
78,Использование града как временного рисунка,Нет,состояние,принцип случайности,экзогенные,аналог в климате
79,Формирование рисунков из коры деревьев,Нет,структура,принцип композиции,индивидуальные,аналог в ремёслах
80,Создание мостов из дерева,Да,структура,принцип соединения,индивидуальные,аналог в архитектуре
81,Выстраивание кругов из соли,Нет,структура,принцип симметрии,индивидуальные,аналог в ритуалах
82,Формирование рельефов при помощи огня,Нет,структура,принцип термической трансформации,индивидуальные,аналог в агротехнике
83,Использование света луны как материала,Нет,состояние,принцип эфемерности,экзогенные,аналог в поэзии
84,Создание ледяных дорожек,Нет,структура,принцип временности,индивидуальные,аналог в зимних практиках
85,Формирование симметричных холмов,Нет,структура,принцип геометризации,индивидуальные,аналог в инженерии
86,Размещение ткани на земле,Да,структура,принцип покрытия,индивидуальные,аналог в инсталляции
87,Создание объектов из сухих трав,Нет,структура,принцип эфемерности,индивидуальные,аналог в ремёслах
88,Формирование дорожек из костей животных,Нет,содержание,принцип остатка,индивидуальные,аналог в этнографии
89,Использование инея для орнаментов,Нет,структура,принцип временности,экзогенные,аналог в климате
90,Создание объектов из шлака,Нет,содержание,принцип вторичного использования,индивидуальные,аналог в индустрии
91,Формирование спиралей из соли,Нет,структура,принцип динамики,индивидуальные,аналог в символике
92,Размещение камней по линиям горизонта,Да,пространство,принцип ориентации,индивидуальные,аналог в астрономии
93,Создание композиций из пуха,Нет,структура,принцип эфемерности,индивидуальные,аналог в декоративных практиках
94,Формирование земляных волн,Нет,структура,принцип динамики,индивидуальные,аналог в архитектуре
95,Использование пепла для орнаментов,Нет,структура,принцип остатка,индивидуальные,аналог в ритуалах
96,Создание объектов из глины и соломы,Нет,структура,принцип смешивания,индивидуальные,аналог в строительстве
97,Формирование геометрических орнаментов водой,Нет,структура,принцип отражения,индивидуальные,аналог в декоративных практиках
98,Размещение зеркал для изменения горизонта,Да,пространство,принцип оптической иллюзии,индивидуальные,аналог в медиа-арте
99,Создание ледяных сфер,Нет,структура,принцип временности,индивидуальные,аналог в скульптуре
100,Формирование мозаики из разноцветных камней,Да,структура,принцип композиции,индивидуальные,аналог в мозаике
101,Использование шума ветра как материала,Нет,состояние,принцип эфемерности,экзогенные,аналог в музыке
102,Создание узоров из корней,Нет,структура,принцип естественной формы,эндогенные,аналог в ботанике
103,Формирование рельефа с помощью взрывов,Нет,структура,принцип энергии,мгновенные,аналог в инженерии
104,Размещение металлических колец в поле,Да,структура,принцип контраста,индивидуальные,аналог в инсталляции
105,Создание объектов из водорослей,Нет,структура,принцип эфемерности,индивидуальные,аналог в биоарте
106,Формирование линий из огня,Нет,структура,принцип энергии,мгновенные,аналог в ритуалах
107,Использование дождевых капель как рисунка,Нет,состояние,принцип эфемерности,экзогенные,аналог в поэзии
108,Создание дорожек из золы,Нет,структура,принцип остатка,индивидуальные,аналог в ритуалах
109,Формирование спиралей из деревьев,Нет,структура,принцип роста,индивидуальные,аналог в лесоводстве
110,Размещение зеркальных объектов на воде,Да,пространство,принцип отражения,индивидуальные,аналог в медиа-арте
111,Создание композиций из песчаника,Нет,структура,принцип композиции,индивидуальные,аналог в архитектуре
112,Формирование узоров из угля,Нет,структура,принцип остатка,индивидуальные,аналог в декоративных практиках
113,Использование трещин земли как рисунков,Нет,структура,принцип естественной формы,экзогенные,аналог в геологии
114,Создание объектов из соломы,Нет,структура,принцип эфемерности,индивидуальные,аналог в ремёслах
115,Формирование геометрических линий на снегу,Нет,структура,принцип следа,индивидуальные,аналог в перформансе
116,Размещение зеркал в лесу,Да,пространство,принцип отражения,индивидуальные,аналог в инсталляции
117,Создание узоров из капель краски на земле,Нет,структура,принцип следа,индивидуальные,аналог в живописи
118,Формирование рисунков из мха,Да,структура,принцип роста,индивидуальные,аналог в биоарте
119,Использование солнечных бликов как материала,Нет,состояние,принцип эфемерности,экзогенные,аналог в поэзии
120,Создание земляных волн-валов,Нет,структура,принцип динамики,индивидуальные,аналог в архитектуре
121,Создание объектов из вулканического пепла,Нет,содержание,принцип остатка,индивидуальные,аналог в геологии
122,Формирование узоров из сухих листьев,Нет,структура,принцип эфемерности,индивидуальные,аналог в декоративных практиках
123,Использование радуги как материала,Нет,состояние,принцип эфемерности,экзогенные,аналог в поэзии
124,Создание объектов из торфа,Нет,структура,принцип природной массы,индивидуальные,аналог в строительстве
125,Формирование спиралей из воды,Нет,структура,принцип динамики,экзогенные,аналог в символике
126,Размещение зеркальных поверхностей в пустыне,Да,пространство,принцип отражения,индивидуальные,аналог в медиа-арте
127,Создание объектов из костей рыбы,Нет,содержание,принцип остатка,индивидуальные,аналог в этнографии
128,Формирование дорожек из гальки,Да,структура,принцип упорядочивания,индивидуальные,аналог в садовом дизайне
129,Использование инея для временных рисунков,Нет,структура,принцип эфемерности,экзогенные,аналог в климате
130,Создание объектов из шишек,Нет,структура,принцип композиции,индивидуальные,аналог в декоративных практиках
131,Формирование рельефов с помощью воды,Нет,структура,принцип эрозии,экзогенные,аналог в географии
132,Размещение металлических фигур в песке,Да,структура,принцип контраста,индивидуальные,аналог в скульптуре
133,Создание объектов из пчелиных сот,Нет,структура,принцип природной формы,эндогенные,аналог в биоарте
134,Формирование узоров из снега и льда,Нет,структура,принцип временности,индивидуальные,аналог в декоративных практиках
135,Использование грома как материала,Нет,состояние,принцип эфемерности,экзогенные,аналог в музыке
136,Создание композиций из перьев,Нет,структура,принцип эфемерности,индивидуальные,аналог в декоративных практиках
