№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Нанесение мазка (штриха),Да,тело/материя,закон механики; эвристика композиции,мгновенные; индивидуальные,уникален для живописи
2,Смешивание красок,Условно,содержание,химический закон смешения; эвристика колорита,мгновенные; индивидуальные,аналог в кулинарии/химии
3,Разведение пигмента растворителем,Да,тело/материя,закон химии,мгновенные; индивидуальные,аналог в материаловедении
4,Наложение слоя краски,Да,структура,принцип стратификации,постепенные; индивидуальные,аналог в строительстве
5,Грунтовка поверхности,Нет,тело/материя,закон адгезии,необходимые; индивидуальные,уникален для искусства и дизайна
6,Испарение растворителя,Нет,состояние,закон физики (диффузия),постепенные; эндогенные,аналог в химтехн.
7,Фиксация слоя лака,Нет,структура,закон полимеризации,постепенные; индивидуальные,аналог в защите материалов
8,Растирание пигмента,Да,тело/материя,механика трения,мгновенные; индивидуальные,аналог в фармации
9,Создание подмалёвка,Да,структура,эвристика композиции,постепенные; индивидуальные,уникален
10,Удаление излишка краски,Да,тело/материя,эвристика исправления,мгновенные; индивидуальные,аналог в печати
11,Коррекция линии,Да,структура,эвристика рисунка,мгновенные; индивидуальные,аналог в черчении
12,Добавление светотени,Да,содержание,закон оптики,постепенные; индивидуальные,уникален в изоискусстве
13,Растушёвка перехода,Да,структура,эвристика мягкости,постепенные; индивидуальные,уникален
14,Использование мазка-импасто,Нет,структура,принцип объёмности,дискретные; индивидуальные,уникален
15,Создание фактуры поверхности,Нет,структура,закон рельефности,постепенные; индивидуальные,аналог в скульптуре
16,Использование трафарета,Да,структура,принцип повторяемости,дискретные; индивидуальные,аналог в печати
17,Переход цвета (градиент),Да,содержание,закон смешения света,постепенные; индивидуальные,аналог в графике
18,Наложение прозрачной глазури,Да,структура,закон преломления,постепенные; индивидуальные,уникален в живописи
19,Создание перспективы (линейной),Нет,содержание,геометрический закон,постепенные; индивидуальные,аналог в архитектуре
20,Создание воздушной перспективы,Нет,содержание,закон рассеяния света,постепенные; индивидуальные,уникален
21,Деформация изображения,Да,содержание,эвристика экспрессии,дискретные; индивидуальные,аналог в графике
22,Добавление символа,Да,символы,принцип репрезентации,дискретные; индивидуальные,аналог в языке
23,Включение текста в картину,Да,дискурс,принцип интермедиальности,дискретные; индивидуальные,аналог в рекламе
