№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Жест артиста,Да,поведение,принцип выражения,индивидуальные,аналог в театре
2,Мимика лица,Да,поведение,закон невербальной коммуникации,индивидуальные,аналог в психологии
3,Использование голоса,Да,поведение,принцип вокализации,индивидуальные,аналог в музыке
4,Молчание как акт,Да,дискурс,принцип редукции,индивидуальные,аналог в дзен
5,Движение тела в пространстве,Да,идентичность/границы,принцип кинетики,индивидуальные,аналог в танце
6,Ходьба как перформативный акт,Да,поведение,принцип ритма,индивидуальные,аналог в ритуале
7,Бег или ускорение движения,Да,поведение,принцип динамики,индивидуальные,аналог в спорте
8,Падение на землю,Да,поведение,принцип гравитации,индивидуальные,аналог в акробатике
9,Замедленное движение,Да,поведение,принцип временной деформации,индивидуальные,аналог в кино
10,Обнажение тела,Да,идентичность/границы,принцип уязвимости,индивидуальные,аналог в психотерапии
11,Использование одежды как символа,Да,символы,принцип репрезентации,индивидуальные,аналог в моде
12,Раздевание на сцене,Да,идентичность/границы,принцип демонстрации,индивидуальные,аналог в акционизме
13,Надевание маски,Да,идентичность/границы,принцип сокрытия,индивидуальные,аналог в театре
14,Разрушение маски,Да,структура,принцип деструкции,индивидуальные,аналог в скульптуре
15,Использование грима,Да,идентичность/границы,принцип трансформации,индивидуальные,аналог в театре
16,Применение предмета как символа,Да,символы,принцип метафоризации,индивидуальные,аналог в ритуале
17,Разрушение предмета на сцене,Нет,структура,принцип жертвоприношения,индивидуальные,аналог в ритуале
18,Поднятие объекта над головой,Да,символы,принцип возвышения,индивидуальные,аналог в религии
19,Разбрасывание объектов,Да,структура,принцип хаоса,индивидуальные,аналог в акционизме
20,Уборка или сбор предметов,Да,поведение,принцип упорядочивания,индивидуальные,аналог в быту
21,Пение,Да,поведение,закон акустики,индивидуальные,аналог в музыке
22,Крик,Да,поведение,принцип экстремальности,индивидуальные,аналог в психологии
23,Шёпот,Да,поведение,принцип интимности,индивидуальные,аналог в общении
24,Повторение одного слова,Да,дискурс,принцип мантры,цикличные,аналог в ритуале
25,Чтение текста,Да,дискурс,принцип вербализации,индивидуальные,аналог в театре
26,Разрывание текста,Нет,структура,принцип деконструкции,индивидуальные,аналог в концептуальном искусстве
27,Запись текста при зрителях,Да,дискурс,принцип фиксации,индивидуальные,аналог в письме
28,Включение зрителя в действие,Да,нормы,принцип участия,коллективные,аналог в социологии
29,Зрительское прикосновение,Да,идентичность/границы,принцип соучастия,индивидуальные,аналог в психологии
30,Прямая речь к зрителям,Да,дискурс,принцип диалога,индивидуальные,аналог в коммуникации
31,Игнорирование зрителей,Да,дискурс,принцип отчуждения,индивидуальные,аналог в театре Брехта
32,Хоровое действие,Да,поведение,принцип синхронизации,коллективные,аналог в музыке
33,Создание ритуального круга,Да,структура,принцип сакрализации,коллективные,аналог в антропологии
34,Использование огня,Нет,содержание,закон горения,индивидуальные,аналог в ритуале
35,Включение воды,Нет,содержание,закон текучести,индивидуальные,аналог в инсталляции
36,Манипуляция с едой,Да,содержание,принцип телесности,индивидуальные,аналог в гастрономии
37,Жертвоприношение животного (концептуально),Нет,тело/материя,принцип жертвы,индивидуальные,аналог в ритуале
38,Использование крови,Нет,тело/материя,принцип радикальности,индивидуальные,аналог в биоарте
39,Включение собственного тела как материала,Да,идентичность/границы,принцип телесности,индивидуальные,аналог в акционизме
40,Нанесение надписей на тело,Да,идентичность/границы,принцип маркировки,индивидуальные,аналог в тату
41,Ранение тела (body art),Нет,тело/материя,принцип экстремальности,индивидуальные,аналог в акционизме
42,Заживление ран как часть акта,Нет,состояние,принцип времени,постепенные,аналог в медицине
43,Использование боли,Нет,состояние,принцип экстремального опыта,индивидуальные,аналог в психофизиологии
44,Использование наслаждения,Да,состояние,принцип сенсорности,индивидуальные,аналог в психологии
45,Обнимание незнакомцев,Да,идентичность/границы,принцип контакта,коллективные,аналог в социологии
46,Поцелуй на публике,Да,идентичность/границы,принцип интимности,индивидуальные,аналог в быту
47,Противостояние телами (борьба),Да,поведение,принцип конфликта,индивидуальные,аналог в спорте
48,Совместный танец,Да,поведение,принцип синхронизации,коллективные,аналог в культуре
49,Игра с тенью,Да,пространство,принцип отражения,индивидуальные,аналог в театре
50,Использование зеркала,Да,идентичность/границы,принцип отражения,индивидуальные,аналог в психологии
51,Создание эффекта двойника,Да,идентичность/границы,принцип удвоения,индивидуальные,аналог в VR
52,Запись и воспроизведение действия,Да,память/наследие,принцип документации,индивидуальные,аналог в кино
53,Воспроизведение архива,Да,память/наследие,принцип цитаты,индивидуальные,аналог в истории
54,Переписывание истории вживую,Да,дискурс,принцип реконструкции,индивидуальные,аналог в театре
55,Использование технологий реального времени,Да,технология/инфраструктура,принцип немедленности,индивидуальные,аналог в медиа
56,Интерактив с экраном,Да,дискурс,принцип дополнения,индивидуальные,аналог в цифровом искусстве
57,VR-перформанс,Да,пространство,принцип иммерсивности,индивидуальные,аналог в VR
58,AR-перформанс,Да,пространство,принцип наложения,индивидуальные,аналог в цифровом искусстве
59,Использование дронов,Да,поведение,принцип внешнего агента,коллективные,аналог в инженерии
60,Координация толпы,Да,поведение,принцип массовости,коллективные,аналог в социологии
61,Формирование живых скульптур из тел,Да,структура,принцип композиции,коллективные,аналог в хореографии
62,Создание круговых танцев,Да,поведение,принцип цикличности,коллективные,аналог в ритуале
63,Коллективное скандирование,Да,дискурс,принцип унисона,коллективные,аналог в политике
64,Аплодисменты как акт,Да,поведение,принцип обратной связи,коллективные,аналог в театре
65,Свист или шумовое вмешательство,Да,поведение,принцип разрушения,коллективные,аналог в протесте
66,Использование тишины толпы,Да,поведение,принцип редукции,коллективные,аналог в ритуале
67,Организация очередей/позиций,Да,поведение,принцип упорядочивания,коллективные,аналог в социологии
68,Создание живой стены,Да,структура,принцип барьера,коллективные,аналог в политике
69,Инсценировка конфликта,Да,поведение,принцип противостояния,индивидуальные,аналог в театре
70,Игра с оружием (муляжи),Да,структура,принцип угрозы,индивидуальные,аналог в театре
71,Разрушение оружия,Нет,структура,принцип деструкции,индивидуальные,аналог в акционизме
72,Использование военной формы,Да,символы,принцип репрезентации,индивидуальные,аналог в политике
73,Инсценировка суда,Да,нормы,принцип институциональности,коллективные,аналог в юриспруденции
74,Инсценировка похорон,Нет,нормы,принцип ритуала,коллективные,аналог в антропологии
75,Инсценировка свадьбы,Да,нормы,принцип союза,коллективные,аналог в культуре
76,Повторение религиозных жестов,Да,нормы,принцип сакрализации,коллективные,аналог в ритуале
77,Использование икон/религиозных предметов,Да,символы,принцип репрезентации,индивидуальные,аналог в религии
78,Пародирование ритуала,Да,нормы,принцип иронии,индивидуальные,аналог в театре
79,Использование политических лозунгов,Да,дискурс,принцип пропаганды,индивидуальные,аналог в активизме
80,Разрушение национальных символов,Нет,символы,принцип деструкции,индивидуальные,аналог в акционизме
81,Создание плакатов вживую,Да,дискурс,принцип документации,индивидуальные,аналог в протесте
82,Ношение униформы,Да,идентичность/границы,принцип принадлежности,индивидуальные,аналог в армии
83,Манипуляция временем действия (24ч перформанс),Нет,время/ритм,принцип длительности,постепенные,аналог в акционизме
84,Ночной перформанс,Да,время/ритм,принцип цикличности,индивидуальные,аналог в фестивалях
85,Использование рассвета/заката,Нет,время/ритм,принцип символичности,индивидуальные,аналог в ритуале
86,Инсценировка сна,Да,состояние,принцип иллюзии,индивидуальные,аналог в театре
87,Инсценировка смерти,Нет,состояние,принцип финальности,индивидуальные,аналог в ритуале
88,Фиксация дыхания,Да,состояние,принцип замедления,индивидуальные,аналог в медитации
89,Задержка дыхания,Нет,состояние,закон физиологии,индивидуальные,аналог в спорте
90,Использование гипноза,Да,состояние,принцип транса,индивидуальные,аналог в психологии
91,Использование наркотических эффектов (символически),Нет,состояние,принцип изменённого сознания,индивидуальные,аналог в культуре
92,Сон на сцене,Нет,состояние,принцип замедления,индивидуальные,аналог в акционизме
93,Использование боли как художественного акта,Нет,состояние,принцип экстремальности,индивидуальные,аналог в body art
94,Использование наслаждения (оргазм на сцене),Нет,состояние,принцип телесности,индивидуальные,аналог в радикальном искусстве
95,Коллективное объятие,Да,поведение,принцип соучастия,коллективные,аналог в социологии
96,Коллективный сон,Нет,поведение,принцип синхронизации,коллективные,аналог в психологии
97,Символическое самоубийство,Нет,идентичность/границы,принцип радикальности,индивидуальные,аналог в театре
98,Реальное нанесение себе вреда,Нет,тело/материя,принцип радикальности,индивидуальные,аналог в акционизме
99,Прекращение действия (уход со сцены),Да,поведение,принцип финала,индивидуальные,аналог в театре
100,Неожиданное вторжение в пространство,Да,пространство,принцип внезапности,индивидуальные,аналог в акционизме
101,Использование случайности,Да,структура,принцип энтропии,индивидуальные,аналог в дада
102,Жест повторяющийся до изнеможения,Нет,поведение,принцип экстремальности,цикличные,аналог в перформансе
103,Перформанс в публичном месте,Да,пространство,принцип расширения,индивидуальные,аналог в уличном искусстве
104,Перформанс в частном пространстве,Да,пространство,принцип интимности,индивидуальные,аналог в психотерапии
105,Использование транспорта (метро, автобус),Да,пространство,принцип мобилизации,индивидуальные,аналог в активизме
106,Использование природы (лес, поле),Нет,пространство,принцип слияния,индивидуальные,аналог в ленд-арте
107,Перформанс в экстремальных условиях (пустыня, холод),Нет,пространство,принцип выживания,индивидуальные,аналог в экспедиции
108,Создание иммерсивной среды,Да,пространство,принцип погружения,индивидуальные,аналог в VR
109,Использование проекций на тело,Да,идентичность/границы,принцип медиации,индивидуальные,аналог в медиа-арте
110,Разговор с цифровым аватаром,Да,идентичность/границы,принцип удвоения,индивидуальные,аналог в VR
111,Взаимодействие с роботом,Да,идентичность/границы,принцип ко-агентности,индивидуальные,аналог в инженерии
112,Участие животных,Нет,поведение,принцип соучастия,индивидуальные,аналог в биоарте
