№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Восприятие высоты,Да,значения,Частота и перцепция,"эндогенные, мгновенные",Соотношение частоты и высоты
2,Восприятие громкости,Да,значения,Кривые равной громкости,"эндогенные, мгновенные",Не линейная чувствительность
3,Восприятие тембра,Да,значения,Спектральное восприятие,"эндогенные, мгновенные",Различение окраски звука
4,Восприятие длительности,Да,значения,Психофизика времени,"эндогенные, мгновенные",Субъективное время
5,Слуховая маскировка,Нет,функция,Маскирование,"мгновенные, эндогенные",Сильные звуки скрывают слабые
6,Пространственная локализация,Да,пространство,Межушные различия,"эндогенные, мгновенные",Определение положения источника
7,Критическая полоса,Да,значения,Психоакустическая полоса,"эндогенные, мгновенные",Ширина фильтра слуха
8,Эффект отсутствующего фундаментала,Да,значения,Сложные тоны,"эндогенные, мгновенные",Восприятие основного тона без его присутствия
9,Группировка звуковых потоков,Да,отношения,Гештальт-принципы,"эндогенные, мгновенные",Организация звуковых событий
10,Аудиальные иллюзии,Да,значения,"Иллюзии (например, Shepard)","эндогенные, мгновенные",Обман слуха
11,Адаптация слуха,Да,состояние,Адаптация,"постепенные, эндогенные",Привыкание к уровню звука
12,Слуховая усталость,Да,состояние,Утомление,"постепенные, эндогенные",Снижение чувствительности
13,Временная интеграция,Да,время/ритм,Интеграция,"эндогенные, мгновенные",Суммирование энергии звука
14,Эффект предшествования (Хааса),Да,отношения,Предшествование,"эндогенные, мгновенные",Первый звук доминирует в локализации
15,Слуховое привыкание,Да,состояние,Привыкание,"постепенные, эндогенные",Снижение реакции на постоянный звук
